respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,sns2a,sns2b,sns2c,sns2d,sns2e,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
30,1,1,190108,1,2,19,1,19001,R, ,1,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,1,1,1,1, , ,2, ,4,1,1,2,2,1,2,2,62,5,8,2,2,1, , , ,1, ,9,2, ,1, ,1, , ,.3474053, 
31,1,1,190108,1,3,48,4,48453,U, ,1,2,2, ,2,2, , ,1,2, ,2,2,2,2, ,2,2,1,I HAVE NEVER LEARNED HOW TO USE A COMPUTER, ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,6,1,2,2,96,5,8,3,2,1, , , ,1, ,9,2, ,1, ,1, , ,.3474053, 
32,1,1,190108,1,3,22,2,22017,S, ,2,1,1,3,1,2, , ,1,1,2,1,2,1,1,1,1,1,2, ,3,2,2,1,2,2,2,1,2,2, , ,2, , ,1,1,2,3,1,2,2,68,1,5,3,2,1, , , ,1, ,5,2, ,2,2,1, , ,.7821782, 
34,1,1,190125,1,3,48,5,48201,U, ,2,1,1,5,2,1,2, ,1,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,6,1,2,2,78,5,3,3,2,2, , , ,2, ,1,3,8,1, ,1, , ,1.0660574, 
35,1,1,190108,1,3,48,1,48455,R, ,2,1,2,2,1,1,2, ,1,2, , , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,4, , ,2,1,2,15,1,2,1,65,3,3,3,2,1, , , ,1, ,2,1, ,1, ,1, , ,.6882725, 
36,1,1,190108,1,3,1,1,1011,R, ,1,2,2, ,2,2, , ,1,2, ,2,2,2,2, ,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,0, , , ,76,3,1,3,2,2, , , ,2, ,1,1, ,1, ,1, , ,.8127127, 
37,1,1,190108,1,4,49,4,49035,S, ,2,1,1,1,2,1,2, ,1,1,3, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,0, , , ,72,9,4,3,1,7, , , ,5,1,6,1, ,2,2,1, , ,.9584345, 
38,1,1,190117,1,4,4,2,4019,U, ,1,1,1,2,1,1,2, ,1,1,3, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,5, ,3,1,1,2,12,1,2,2,65,1,6,99,9,9, , , ,9, ,99,9,9,9,9,9,9, ,.3474053, 
40,1,1,190108,1,3,51,1,51027,R, ,1,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,2,1,1,2,1,2,2,2,2, ,3,3, ,3,2,1,2,0, , , ,37,3,3,1,2,1, , , ,1, ,4,3,1,3,1,1, , ,1.0486956, 
41,1,1,190109,1,1,42,2,42073,R, ,2,1,1,3,1,1,2, ,1,2, , , , , , , , , , , ,2,1,1,2,2,2,2,2,2, ,2,1, , ,1,1,2,4,1,2,2,85,1,3,3,2,1, , , ,1, ,98,2, ,2,2,1, , ,1.0126701, 
42,1,1,190109,1,3,12,2,12089,S, ,2,1,1,2,1,1,3, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,1, ,3,1,1,2,5,1,2,2,66,1,5,3,2,1, , , ,1, ,99,1, ,2,2,1, , ,.7821782, 
43,1,1,190109,1,1,42,3,42075,S, ,2,1,2,5,2,1,2, ,1,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,0, , , ,57,1,3,6,2,1, , , ,1, ,99,2, ,2,2,1, , ,1.2186536, 
44,1,1,190109,1,3,24,3,24025,S, ,2,1,1,3,1,1,2, ,1,1,4, , , , , , , , , , ,2,2,1,2,1,2,1,1,2, , ,2, ,2,2,1,1,2,1,2,2,41,1,6,4,2,2, , , ,2, ,7,1, ,3,2,1, , ,1.0474918, 
45,1,1,190109,1,3,12,4,12031,U, ,2,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,2,1,0, , , ,50,3,3,1,2,2, , , ,2, ,5,2, ,1, ,1, , ,1.2407562, 
46,1,1,190109,1,3,12,4,12057,S, ,2,1,1,1,1,1,2, ,2, , , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,2,2,2,50,1,2,2,79,3,6,3,2,1, , , ,1, ,4,2, ,5,3,2,1, ,1.8047295, 
47,1,1,190109,1,1,42,4,42091,S, ,2,1,1,2,1,1,2, ,1,2, , , , , , , , , , , ,2,1,1,2,1,2,2,2,1, ,3,1, ,4,1,1,2,4,1,2,1,72,5,7,3,2,1, , , ,1, ,4,2, ,1, ,1, , ,.3474053, 
48,1,1,190109,1,3,12,3,12081,S, ,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2, ,3,2,2,1,2,2,2,2,2,2, , ,5, , ,1,1,2,4,2,1,2,78,3,6,3,2,1, , , ,1, ,6,1, ,2,2,1, , ,.4171403, 
49,1,1,190109,1,1,33,3,33011,S, ,1,1,1,3,2,1,2, ,1,2, , , , , , , , , , , ,1,2,1,2,1,2,2,2,2,2, ,2, ,3,2,1,2,20,1,2,2,71,1,4,3,2,1, , , ,1, ,4,3,2,2,2,1, , ,.7210039, 
50,1,1,190109,1,1,42,2,42013,S, ,2,1,1,1,1,1,2, ,1,1,1, , , , , , , , , , ,1,1,1,2,1,1,1,2,1,1,3,3, ,1,1,1,2,14,1,2,1,44,3,4,3,2,1, , , ,1, ,2,2, ,1, ,1, , ,1.3456699, 
51,1,1,190109,1,3,12,4,12011,S, ,2,1,1,1,1,1,2, ,1,1,1, , , , , , , , , , ,2,1,1,2,1,2,1,1,1, ,4,1, ,1,1,1,1,97,1,1,1,68,3,6,3,2,1, , , ,1, ,9,2, ,2,2,1, , ,.4405172, 
52,1,1,190109,1,3,12,3,12127,S, ,1,1,2,2,1,1,2, ,2, , , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,2,2,1,2,1,1,2,2,70,1,3,3,2,1, , , ,1, ,6,1, ,2,2,2,2, ,2.2433447, 
53,1,1,190109,1,1,42,2,42061,R, ,2,1,1,1,1,1,2, ,1,1,3, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,5, ,5,1,1,2,96,1,2,1,66,1,7,1,2,1, , , ,1, ,99,3,2,2,2,1, , ,.4687699, 
55,1,1,190109,1,3,12,3,12099,S, ,2,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,5,2,1,2,20,1,2,2,63,3,4,3,2,1, , , ,1, ,9,2, ,1, ,1, , ,.6890216, 
57,1,1,190109,1,1,9,2,9005,R, ,1,2,2, ,2,1,2, ,2, , , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,3, ,3,2,2,2,0, , , ,53,3,3,99,2,1, , , ,1, ,1,4,9,2,2,2,1, ,2.2433447, 
58,1,1,190109,1,3,45,2,45091,S, ,2,1,1,2,1,1,2, ,1,2, , , , , , , , , , , ,2,1,1,2,1,2,1,2,2, ,2,1, ,2,1,1,2,96,1,2,1,99,1,7,3,2,1, , , ,1, ,99,1, ,2,2,1, , ,.4861176, 
61,1,1,190109,1,3,11,5,11001,U, ,2,2,1,4,2,2, , ,1,2, ,2,2,1,2, ,2,2,2, , ,2,2,2,2,2,8,2,2,2, , , , , ,2,2,2,25,1,2,2,90,5,3,3,2,2, , , ,2, ,2,2, ,1, ,1, , ,1.0660574, 
62,1,1,190109,1,2,26,5,26163,S, ,2,1,1,4,1,1,2, ,1,2, , , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,3, ,3,1,1,2,96,1,2,1,78,5,5,4,2,1, , , ,1, ,5,1, ,1, ,1, , ,.6970421, 
63,1,1,190109,1,1,25,4,25021,S, ,1,1,1,2,1,1,2, ,1,1,3, , , , , , , , , , ,1,2,1,2,1,2,2,2,2,3, ,1, ,3,1,1,1,0, , , ,49,1,3,4,2,1, , , ,1, ,3,3,2,4,3,1, , ,1.2921887, 
65,1,1,190109,1,2,39,3,39153,S, ,1,1,1,2,2,1,2, ,1,1,3, , , , , , , , , , ,2,2,2,2,1,2,1,2,2, , , , ,2,1,1,1,0, , , ,41,1,4,1,2,1, , , ,1, ,9,2, ,4,2,1, , ,1.1328572, 
66,1,1,190109,1,2,39,2,39077,R, ,1,1,2,2,2,1,2, ,1,2, , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,5,2,1,2,12,1,2,2,86,1,6,3,2,1, , , ,1, ,3,1, ,2,2,1, , ,.417092, 
68,1,1,190109,1,2,26,2,26005,R, ,2,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,2, , ,1,1,1,0, , , ,62,1,3,3,2,1, , , ,1, ,6,3,8,2,2,1, , ,1.2636061, 
69,1,1,190109,1,2,39,2,39011,R, ,2,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,2,1,1,2,1,2,1,2,2, ,2,2, ,2,1,1,2,40,2,1,2,68,1,8,3,2,1, , , ,1, ,99,2, ,9,2,1, , ,.4648087, 
71,1,1,190109,1,3,37,3,37071,U, ,2,1,1,3,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,1,1,2, , ,2, ,3,1,1,1,1,2,1,1,56,1,4,6,2,1, , , ,1, ,6,3,1,5,4,1, , ,1.072115, 
72,1,1,190109,1,3,47,3,47065,U, ,2,1,1,5,1,1,2, ,2, , , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,2,2,12,1,2,2,59,1,2,4,2,1, , , ,1, ,1,2, ,4,3,2,1, ,2.2433447, 
74,1,1,190109,1,1,36,5,36119,S, ,2,1,2,4,2,1,2, ,2, , , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,5,2,1,1,0, , , ,57,4,5,1,1,1, , , ,1,1,99,4,8,1, ,2, , ,2.2433447, 
75,1,1,190109,1,3,37,3,37057,S, ,2,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,2,2,1,2,1,2,1,1,2, , ,3, ,4,1,1,1,1,1,2,2,58,1,7,1,2,1, , , ,1, ,9,1, ,3,3,1, , ,.666311, 
76,1,1,190109,1,1,34,4,34027,S, ,2,1,1,1,1,1,2, ,1,1,3, , , , , , , , , , ,1,1,1,1,1,2,1,1,2,2,1,1,3,1,2,1,2,3,1,2,1,57,1,7,1,2,1, , , ,1, ,8,3,2,5,5,1, , ,.6088829, 
78,1,1,190109,1,2,17,1,17135,R, ,2,2,2, ,1,2, , ,1,1,8,2,2,1,9,2,2,2,2, , ,2,2,1,2,2,2,2,2,2, , ,3, , ,2,2,2,0, , , ,77,5,3,3,2,1, , , ,1, ,3,3,8,1, ,1, , ,.6581021, 
79,1,1,190109,1,3,47,1,47003,R, ,2,2,2, ,1,1,2, ,1,1,1, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,3, , ,1,2,2,0, , , ,68,5,4,6,2,1, , , ,1, ,2,2, ,1, ,1, , ,.5126448, 
80,1,1,190109,1,3,40,1,40087,S, ,1,1,1,2,2,1,1,2,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,2,2,88,2,2,2,65,1,6,3,2,1, , , ,1, ,7,2, ,2,2,1, , ,.3905665, 
81,1,1,190109,1,2,27,3,27037,U, ,2,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,2,1,2,1,2, , ,3, , ,1,1,2,10,1,2,1,73,1,8,3,2,1, , , ,1, ,7,2, ,2,2,1, , ,.4444852, 
82,1,1,190109,1,3,48,2,48041,U, ,2,2,2, ,2,2, , ,1,2, ,2,2,2,2, ,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,2,1,2,2,98,2,6,3,2,1, , , ,1, ,6,1, ,2,2,1, , ,.4861176, 
83,1,1,190109,1,2,19,1,19015,R, ,2,2,2, ,2,2, , ,2, , ,2,2,1,2, ,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,0, , , ,80,3,3,4,2,1, , , ,1, ,98,2, ,1, ,2, , ,1.3193135, 
84,1,1,190109,1,3,1,3,1089,U, ,2,2,2, ,2,2, , ,2, , ,2,2,2,2, ,2,8,1,not interest to old, ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,48,1,2,2,86,5,6,3,2,1, , , ,1, ,6,4,8,1, ,2, , ,.6821721, 
85,1,1,190109,1,2,55,3,55025,U, ,1,1,1,4,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,1,2, , ,2, ,4,1,1,2,30,1,2,2,50,6,6,1,2,1, , , ,1, ,7,2, ,1, ,1, , ,.357555, 
86,1,1,190109,1,3,47,1,47043,S, ,2,1,1,4,1,1,2, ,1,1,1, , , , , , , , , , ,2,2,1,1,2,2,2,2,2, , ,3,3, ,2,2,2,3,1,2,2,72,5,5,4,2,1, , , ,1, ,9,3,1,1, ,1, , ,.5126448, 
87,1,1,190109,1,4,2,1,2090,S, ,1,1,2,3,1,1,1,1,1,2, ,2,1,2,2, ,2,1,2, , ,2,2,2,2,1,2,2,2,2, , , , ,3,2,1,2,4,1,2,2,73,1,3,3,2,1, , , ,1, ,6,1, ,2,2,1, , ,.8117994, 
89,1,1,190109,1,2,55,3,55139,U, ,2,1,2,3,2,1,2, ,2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,3,1,2,2,79,5,6,3,2,1, , , ,1, ,4,3,2,1, ,2, , ,.6522691, 
90,1,1,190109,1,4,32,2,32003,U, ,2,1,1,3,1,1,2, ,2, , , , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,2, ,1,1,1,2,0, , , ,60,3,4,6,2,1, , , ,1, ,2,3,8,4,2,2,1, ,2.1410665, 
91,1,1,190109,1,4,53,1,53045,R, ,2,1,1,4,1,1,2, ,1,1,1, , , , , , , , , , ,2,1,1,2,2,2,2,2,2, ,5,1, , ,2,2,2,0, , , ,43,3,4,1,2,9, , , ,9, ,3,3,1,1, ,1, , ,.9950692, 
92,1,1,190204,1,2,18,1,18131,R, ,2,1,2,2,1,1,8, ,1,2, ,8,2,1,2, ,2,2,2, , ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,2,2,0, , , ,98,9,99,99,9,9, , , ,9, ,99,9,9,9,9,9,9, ,.4161694, 
93,1,1,190110,1,2,39,1,39001,R, ,2,1,1,3,1,2, , ,1,1,1,2,2,2,1,1,1,2,2, ,3,2,2,1,2,2,2,2,2,2, , ,2, , ,2,2,2,0, , , ,99,2,3,4,2,5, , , ,5, ,1,1, ,2,1,1, , ,.9071357, 
95,1,1,190110,1,3,12,2,12001,U, ,2,1,1,2,1,1,2, ,1,1,3, , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,3, ,4,2,2,2,96,1,1,1,57,3,3,1,2,1, , , ,1, ,5,2, ,1, ,1, , ,.9673724, 
96,1,1,190110,1,3,12,4,12031,U, ,1,1,1,2,1,1,2, ,1,2, , , , , , , , , , , ,1,2,1,1,1,2,1,2,2,1, ,2,5,2,1,1,1,50,2,2,1,79,1,6,3,2,1, , , ,1, ,8,1, ,2,2,1, , ,.3952943, 
98,1,1,190110,1,1,9,4,9003,S, ,2,1,1,2,1,1,2, ,1,1,3, , , , , , , , , , ,1,2,1,2,1,2,1,2,2,4, ,2, ,3,1,1,2,48,1,2,1,71,1,7,3,2,1, , , ,1, ,6,1, ,2,2,1, , ,.4247968, 
99,1,1,190110,1,3,12,4,12011,S, ,2,1,2,5,1,1,2, ,1,2, , , , , , , , , , , ,2,2,2,2,1,2,2,2,2, , , , ,3,1,1,2,12,1,2,1,58,3,6,1,2,2, , , ,2, ,7,2, ,2,1,1, , ,.5333337, 
101,1,1,190110,1,3,12,4,12095,S, ,2,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,1,2,1,2,1,2,2,2,2,1, ,1, ,2,1,1,1,10,1,2,2,39,1,7,1,2,1, , , ,1, ,6,2, ,4,2,1, , ,1.022653, 
102,1,1,190116,1,3,11,5,23009,R, ,2,1,1,1,2,1,2, ,2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,24,1,2,2,58,1,7,1,2,1, , , ,1, ,6,3,2,3,2,1, , ,.7788899, 
103,1,1,190110,1,1,42,4,42017,S, ,2,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,10,1,2,2,53,6,7,1,2,1, , , ,1, ,8,2, ,1, ,1, , ,.5006882, 
105,1,1,190110,1,3,51,4,51153,S, ,2,1,1,2,1,1,3, ,1,2, , , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,2,2,0, , , ,79,1,3,3,2,1, , , ,1, ,99,3,2,2,2,1, , ,.9516365, 
109,1,1,190110,1,3,13,5,13089,S, ,2,1,1,5,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,1,2,2, , ,5, ,5,1,2,2,98,1,2,2,48,1,6,1,2,2, , , ,2, ,7,2, ,3,3,1, , ,1.2644621, 
110,1,1,190110,1,3,45,3,45063,S, ,2,1,1,2,1,1,2, ,2, , , , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,2, ,1,2,1,2,1,1,2,2,51,1,4,3,2,1, , , ,1, ,1,1, ,2,2,2,2, ,2.2433447, 
111,1,1,190110,1,2,39,2,39133,S, ,1,1,1,2,2,1,2, ,1,1,1, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,0, , , ,55,1,3,1,2,1, , , ,1, ,99,9,9,9,9,9,9, ,.9310815, 
114,1,1,190110,1,1,36,3,36067,S, ,1,1,1,2,1,1,2, ,1,1,1, , , , , , , , , , ,2,2,1,1,1,2,2,2,2, , ,1,1,3,2,2,1,5,1,2,2,18,6,2,2,2,2, , , ,2, ,1,3,8,4,2,1, , ,.8337506, 
116,1,1,190110,1,1,36,1,36019,R, ,2,1,1,3,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,2,1,1,2,2, , ,1, , ,2,1,2,0, , , ,50,1,5,4,2,1, , , ,1, ,98,9,9,1, ,2, , ,1.675309, 
117,1,1,190110,1,3,37,4,37119,U, ,2,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2,1,2, , ,2,1,1,2,1,2,1,1,2, ,5,1, ,2,1,1,1,4,1,1,1,72,1,8,3,2,1, , , ,1, ,9,1, ,3,3,1, , ,.5017486, 
118,1,1,190110,1,1,9,3,36081,U, ,1,1,2,2,2,1,2, ,1,1,3, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,8,98,8,2,2,19,6,1,4,8,1, , , ,1, ,1,3,8,1, ,1, , ,.6120733, 
119,1,1,190110,1,3,40,1,40015,R, ,2,2,2, ,2,2, , ,1,1,9,1,2,1,2,2,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,10,1,2,2,81,1,2,3,2,1, , , ,1, ,4,4,9,2,2,1, , ,.9402547, 
121,1,1,190110,1,3,5,3,5119,S, ,1,1,1,2,1,1,2, ,1,1,3, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,1,2,12,2,1,1,99,1,4,3,2,1, , , ,1, ,6,3,2,2,2,1, , ,.7476859, 
122,1,1,190110,1,2,20,1,20125,R, ,2,2,2, ,2,2, , ,1,2, ,2,2,2,2, ,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,0, , , ,89,1,2,3,2,1, , , ,1, ,3,2, ,2,2,1, , ,.8990387, 
123,1,1,190110,1,2,27,1,27027,S, ,2,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,1,1,2,2,2,1,2,2, ,2,1, , ,1,1,2,40,1,2,2,40,1,6,1,2,1, , , ,1, ,7,2, ,3,2,1, , ,.9661302, 
124,1,1,190110,1,3,47,4,47037,U, ,2,1,1,4,1,1,2, ,1,2, , , , , , , , , , , ,1,2,1,1,2,1,2,2,1,3, ,3,4, ,2,2,1,12,1,1,1,23,2,3,4,2,1, , , ,1, ,1,2, ,1, ,1, , ,1.0429094, 
125,1,1,190110,1,2,20,1,20175,R, ,1,1,1,2,2,1,2, ,1,1,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,20,1,2,2,27,6,2,1,1,1, , , ,1,1,6,9,8,1, ,1, , ,.4666894, 
126,1,1,190110,1,3,22,1,22011,R, ,1,2,2, ,2,2, , ,2, , ,2,2,2,2, ,2,2,2, , ,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,0, , , ,79,5,3,3,2,2, , , ,2, ,6,2, ,1, ,1, , ,.8127127, 
127,1,1,190110,1,3,48,5,48439,U, ,1,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,1,2, , ,1, ,3,2,1,2,0, , , ,72,1,6,3,2,1, , , ,1, ,9,1, ,2,2,1, , ,.5553983, 
128,1,1,190110,1,2,55,3,55025,S, ,1,1,1,2,1,1,2, ,1,1,2, , , , , , , , , , ,2,2,1,2,1,2,2,2,2, , ,5, ,4,1,1,1,1,1,2,2,56,1,5,1,2,1, , , ,1, ,8,2, ,4,3,1, , ,.6964894, 
129,1,1,190110,1,2,29,1,29177,S, ,2,1,2,2,1,1,2, ,1,2, , , , , , , , , , , ,2,2,1,2,2,2,2,2,2, , ,1, , ,2,1,2,52,1,2,2,73,5,5,3,2,5, , , ,5, ,3,3,2,1, ,1, , ,.6756088, 
